"","gender","age","country","country_en","country_mi","ethniceng","ethnicmri","ethnicwsm","ethniccok","ethnicton","ethnicniu","ethnicchn","ethnicind","ethnicother","ethnicother_en","ethnicother_mi","languages","handed","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","hairlength","travel","timetravel","bagweightraw","bagweight","bagcarry","favlearning","favlearningmo","memory","reaction","sport","sport_en","techtv","techmp3","techinternet","techmobinternet","techfacebook","techtwitter","techbebo","techmyspace","techskype","techconsole","technone","cellmonths","onlinemusic","onlinevideo","onlinegame","onlinefriend","onlineschool","onlineother","onlinenone","bedtime","waketime","favtvshow","favtvshow_en","importwarm","importpollution","importrecycling","importwater","importlifestyle","importenergy","importgovern","importcomputer","region","year"
"1298","male","9","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","ambi","147","23","137","16","29","39","60","60","70","motor","2","300","300","one","mathstats","technology","57","0.469","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","no","no","yes","no","no","no","no","no","no","yes","no","NA","no","no","yes","no","no","no","no","7:15:00","7:30:00","Master chef","Masterchef New Zealand","0","38","69","100","99","100","-45","100",6,5
"5831","male","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","151","24","NA","16","30","42","NA","NA","4","bike","4","4000","4000","two","technology","arts","49","0.416","Cycling","Cycling","yes","yes","yes","no","yes","no","no","no","yes","yes","no","12","yes","yes","yes","yes","no","no","no","11:00:00","6:00:00","None","None","1","100","24","53","70","89","10","-96",14,7
"22810","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","160","27","152","15","34","46","95","100","160","bus","65","NA","NA","two","mathstats","health","37","0.39","Rugby","Rugby","no","yes","yes","no","yes","no","no","no","no","yes","no","NA","yes","yes","yes","yes","yes","no","no","11:30:00","6:30:00","Family guy","Family Guy","-93","-60","-75","-99","-100","-92","-66","31",14,9
"4134","female","14","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","2","right","155","23","158","16","33","39","80","80","493","walk","12","1000","1000","one","health","languages","39","0.359","Kapahaka","Kapahaka","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","8","yes","no","no","yes","yes","no","yes","10:30:00","7:00:00","Csi miami","CSI","-59","-35","84","-10","95","-33","-52","52",3,10
"4565","female","13","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","scottish","","NA","4","right","164","NA","171","17","34","NA","70","80","360","motor","30","3600","3600","two","arts","languages","39","0.437","Basketball","Basketball","yes","yes","yes","yes","yes","no","yes","no","yes","yes","no","3","no","no","yes","yes","yes","no","no","10:45:00","6:45:00","Scrubs, any music channel","Scrubs","99","100","62","76","89","41","48","89",5,9
"22175","male","12","Russia","RUS","RUS","no","no","no","no","no","no","no","no","Russian","","NA","2","right","165","25","150","15","NA","NA","90","70","8","bike","15","350","400","two","languages","arts","44","0.624","Netball","Netball","yes","no","yes","no","yes","yes","yes","no","yes","yes","no","3","no","yes","yes","yes","yes","no","no","10:00:00","7:30:00","Desperate housewives","Desperate Housewives","64","62","64","64","64","65","65","76",3,8
"18637","female","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","NA","NA","153","17","36","42","70","65","410","walk","25","520","500","two","arts","arts","36","0.484","Water sports (swimming, diving, surfing, canoeing, kayaking)","Water sports (swimming, diving, surfing, canoeing, kayaking)","no","yes","yes","yes","yes","no","no","no","yes","yes","no","27","yes","no","yes","yes","yes","no","no","10:30:00","7:15:00","Glee","Glee","-15","36","36","19","2","38","3","-93",3,11
"13040","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","163","24","163","16","30","38","NA","NA","35","walk","25","5","NA","one","arts","english","29","0.625","Water sports (swimming, diving, surfing, canoeing, kayaking)","Water sports (swimming, diving, surfing, canoeing, kayaking)","yes","yes","yes","no","yes","no","no","no","yes","yes","no","16","yes","yes","yes","yes","yes","no","no","9:30:00","6:30:00","Shortland street","Shortland Street","-92","-45","-39","-10","38","15","NA","41",16,9
"5528","male","11","china","CHN","CHN","no","no","no","no","no","no","yes","no","","","","2","right","153","23","151","15","32","NA","NA","NA","3","walk","25","NA","NA","two","mathstats","english","NA","0.453","Soccer","Soccer","yes","no","no","no","no","no","no","no","no","no","no","12","no","no","yes","no","no","no","no","10:00:00","7:00:00","Spongebob squarepants","SpongeBob SquarePants","100","76","77","100","65","84","61","34",3,8
"2299","male","10","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","152","24","156","14","31","41","70","80","500","motor","10","3000","3000","one","mathstats","english","41","NA","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","no","no","yes","no","no","no","no","no","yes","yes","no","NA","no","yes","yes","no","yes","no","no","9:45:00","6:45:00","","None","0","100","100","0","1","47","-55","-54",3,6
"19350","female","16","Tongan","TON","TON","no","no","no","no","yes","no","no","no","","","","1","right","168","NA","172","NA","NA","NA","NA","NA","20","walk","5","2","NA","two","social","health","45","1.706","Soccer","Soccer","no","yes","yes","yes","yes","no","no","no","no","yes","no","2","yes","yes","yes","yes","yes","no","no","11:15:00","8:45:00","Pretty little liers","Pretty Little Liars","76","-12","72","7","33","21","1","48",3,12
"20747","male","8","newzealand","NZL","NZL","no","no","no","no","no","no","yes","no","","","","NA","left","136","20","137","15","31","36","58","45","23","motor","11","1000","1000","one","technology","health","58","0.458","Rugby","Rugby","yes","no","yes","no","yes","no","no","no","yes","yes","no","NA","no","yes","yes","no","yes","no","no","9:30:00","6:00:00","Phinies and ferb","Phineas and Ferb","-33","1","1","0","63","1","29","100",3,4
"1970","male","11","newzealand","NZL","NZL","no","no","no","no","no","no","no","yes","","","","4","right","158","26","152","21","31","45","75","60","70","bus","45","2000","2000","two","mathstats","english","73","0.474","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","no","3","no","no","yes","yes","no","no","no","8:45:00","6:30:00","Tees maar khan","NA","98","20","24","46","60","10","86","-15",5,7
"1934","male","12","phillipines","PHL","PHL","no","no","no","no","no","no","no","no","filipino","Filipino","","2","right","145","24","NA","17","32","40","80","70","4","bike","15","1","NA","two","arts","english","46","1.891","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","yes","no","yes","no","yes","no","no","no","no","yes","no","NA","no","no","no","yes","no","no","no","9:00:00","6:00:00","Naruto","Naruto","100","100","86","12","34","93","100","100",3,8
