Course,Gender,Element,Zodiac,Season,NumCountries,Ethnicity,WeightActual,WeightIdeal,WeightDiff,Vote,Religion,Driving,NumYears,Speed,Tickets,Looks,Intelligence,SocialMedia,DayBorn,Under20,TxtSent,StudentLoan,DrinkSpend,DrinkCount,Earning,Work,Confidence,Extravagance,Shoes
S101,Female,Earth,Taurus,Autumn,5,Other,47,47,0,Labour,No,AboveAverage,1,120,No,5,9.2,0,Monday,Yes,300,No,None,None,High,Yes,63.1,21.6,8
S101,Male,Earth,Virgo,Winter,2,Korean,76,70,6,National,Yes,Average,10,80,No,3.6,3.2,90,Tuesday,Yes,50,Yes,None,None,High,No,34.9,57.3,10
S108,Male,Water,Scorpio,Spring,3,Indian,75,70,5,Labour,Yes,AboveAverage,18,110,No,6.9,8,120,Wednesday,Yes,20,Yes,None,None,Medium,No,60.2,59.2,4
S108,Male,Fire,Leo,Winter,1,Chinese,58,68,-10,National,No,Average,3,140,No,7.3,8,20,Sunday,No,15,Yes,None,None,Low,No,53.4,45.9,8
S108,Male,Earth,Virgo,Winter,8,Korean,65,75,-10,National,Yes,AboveAverage,4,110,No,9,7.9,60,Monday,No,10,No,None,None,Low,Yes,51.2,44.1,5
S108,Female,Air,Libra,Spring,1,Other,49,48,1,Green,Yes,BelowAverage,2,0,No,8.7,8.4,150,Sunday,No,450,Yes,None,None,High,Yes,73.1,48.5,10
S108,Male,Fire,Aries,Autumn,27,Other,86,80,6,Labour,No,AboveAverage,7,130,No,5.1,5.1,120,Tuesday,Yes,50,Yes,None,None,High,No,46.5,65.6,4
S108,Female,Fire,Sagittarius,Summer,3,Chinese,42,40,2,National,No,AboveAverage,14,120,No,7.3,7.2,150,Saturday,Yes,150,Yes,None,None,Medium,No,60.5,63.3,25
S108,Male,Air,Aquarius,Summer,0,Chinese,50,50,0,Labour,Yes,Average,18,0,No,5.2,7.9,330,Tuesday,Yes,0,Yes,None,None,Low,No,45.5,52,2
S108,Male,Earth,Capricorn,Summer,0,Other,72,75,-3,Labour,No,Poor,4,0,No,7.1,7,40,Friday,No,5,Yes,High,Low,High,No,56.6,51,2
S108,Female,Air,Libra,Spring,3,Korean,53,48,5,Labour,Yes,BelowAverage,12,0,No,3.5,4.4,180,Sunday,Yes,20,Yes,None,None,DontKnow,No,36.4,55.7,10
S108,Female,Earth,Capricorn,Summer,1,Other,52,50,2,Labour,Yes,Poor,13,20,No,8.9,8,60,Monday,Yes,20,Yes,None,None,Medium,No,64.1,50.7,16
S108,Female,Earth,Taurus,Autumn,1,Maori/P.I.,100,100,0,Labour,Yes,BelowAverage,3,0,No,9.4,9.2,150,Saturday,Yes,20,Yes,None,None,Low,Yes,69.2,47.3,3
S108,Male,Earth,Virgo,Spring,5,NZ.European,75,75,0,National,Yes,Excellent,19,160,No,9.9,8,145,Friday,No,50,Yes,High,High,High,No,80.2,74.9,4
S101,Female,Fire,Aries,Autumn,1,Maori/P.I.,96,75,21,None,Yes,Average,19,0,No,9.1,8.8,330,Wednesday,Yes,200,Yes,None,None,High,No,63.8,60.7,15
S101,Male,Air,Libra,Spring,2,Indian,81,75,6,None,Yes,Excellent,6,120,No,8,7.9,300,Wednesday,No,50,Yes,None,None,High,No,68.7,65.6,4
S108,Female,Air,Libra,Spring,5,NZ.European,60,57,3,National,Yes,AboveAverage,18,140,No,6.4,6.8,195,Wednesday,Yes,30,Yes,Low,Low,Medium,Yes,55.5,60.1,15
S101G,Female,Water,Cancer,Winter,2,NZ.European,167,167,0,National,Yes,Average,15,130,Yes,7.9,7.4,120,Friday,No,10,Yes,None,Low,Low,Yes,60.4,53.5,10
S101,Male,Water,Cancer,Winter,0,NZ.European,62,70,-8,National,Yes,Average,20,110,No,8.3,6.9,0,Friday,No,12,Yes,None,None,High,No,63.3,23.8,2
S101,Female,Air,Gemini,Winter,2,Maori/P.I.,89,89,0,Labour,No,AboveAverage,18,0,No,10,7.9,0,Wednesday,Yes,999,Yes,None,None,DontKnow,No,74.1,26.1,10
S108,Female,Fire,Sagittarius,Summer,2,Chinese,60,55,5,None,No,Average,6,0,No,7.5,8.5,30,Friday,Yes,80,Yes,None,None,Low,No,57.6,45.2,9
S108,Female,Earth,Capricorn,Summer,3,Other,48,60,-12,None,Yes,Average,5,100,No,7,5.2,450,Saturday,Yes,120,Yes,High,Low,Medium,Yes,47.2,70.8,70
S108,Female,Fire,Leo,Winter,5,Other,52,50,2,National,Yes,Average,3,0,No,7.5,8,10,Thursday,Yes,50,Yes,None,None,Medium,No,62.3,39.7,16
S101,Male,Water,Piscies,Summer,1,Chinese,52,60,-8,Labour,No,BelowAverage,6,50,No,5.1,7.4,60,Tuesday,Yes,1,No,None,None,Medium,No,49.1,48.8,4
S101,Male,Earth,Virgo,Spring,4,Other,105,90,15,Labour,No,Average,4,100,No,4.9,7.2,300,Wednesday,Yes,5,Yes,None,None,DontKnow,No,47.1,63.9,3
S101,Male,Fire,Leo,Winter,2,NZ.European,130,110,20,National,No,AboveAverage,45,180,No,3,7.5,0,Thursday,No,2,Yes,High,High,High,No,42.8,37.2,4
S108,Female,Water,Cancer,Winter,7,Chinese,70,60,10,None,No,AboveAverage,16,100,No,7,6.9,180,Wednesday,No,30,Yes,None,None,Low,No,50.4,64,5
S108,Male,Air,Aquarius,Summer,4,Korean,63,58,5,National,Yes,Average,12,0,No,8.4,6,90,Sunday,Yes,30,No,None,None,Medium,No,56.5,52.3,8
S101,Female,Water,Cancer,Winter,1,NZ.European,80,70,10,Labour,Yes,BelowAverage,20,0,No,2,5,210,Saturday,No,20,Yes,High,Low,High,Yes,31.8,56.5,10
S108,Female,Fire,Aries,Autumn,8,Chinese,52,52,0,None,No,Poor,14,80,No,5.1,5.1,30,Wednesday,Yes,2,Yes,None,None,DontKnow,No,47.1,49.5,10
S108,Male,Earth,Virgo,Spring,4,NZ.European,84,84,0,National,No,AboveAverage,18,100,No,7.5,7.5,120,Sunday,Yes,25,Yes,Low,Low,Medium,Yes,65.4,56.9,5
S101,Female,Air,Libra,Spring,18,Other,88,68,20,Other,Yes,AboveAverage,37,200,No,6.8,7,30,Saturday,No,10,Yes,High,High,DontKnow,No,52.6,66.2,28
S108,Female,Fire,Leo,Winter,3,Chinese,60,50,10,Green,Yes,AboveAverage,1,0,No,8.9,10,150,Friday,No,50,No,None,None,Medium,No,70.2,55.6,50
S101,Male,Fire,Leo,Winter,1,Chinese,53,58,-5,National,No,AboveAverage,15,90,No,6.8,6.7,360,Thursday,Yes,20,Yes,None,None,DontKnow,No,55.8,64.2,6
S101,Male,Earth,Capricorn,Summer,10,NZ.European,67,70,-3,National,No,Excellent,19,190,No,7.7,6.1,120,Thursday,No,20,Yes,High,High,High,No,64.3,74.4,6
S108,Female,Fire,Aries,Autumn,2,Maori/P.I.,60,60,0,National,Yes,AboveAverage,17,140,No,5.1,5.1,195,Wednesday,Yes,22,Yes,Low,Low,High,No,50.9,69,10
S108,Male,Earth,Capricorn,Summer,0,Maori/P.I.,68,68,0,Green,Yes,Excellent,18,100,No,6.9,7.6,10,Friday,Yes,50,Yes,None,None,High,No,65.2,41,2
S101,Female,Fire,Sagittarius,Summer,2,Other,50,55,-5,None,Yes,Poor,18,140,No,1.7,1.9,60,Sunday,Yes,500,Yes,None,None,DontKnow,Yes,22.2,48.4,10
S108,Female,Water,Piscies,Autumn,2,Indian,53,47,6,National,Yes,Excellent,11,100,No,4.3,5.1,240,Saturday,Yes,50,Yes,Low,Low,Medium,No,43.2,70.9,10
S108,Female,Air,Aquarius,Summer,7,Other,63,59,4,None,Yes,AboveAverage,0,90,No,5.1,5.1,50,Saturday,Yes,2,No,None,None,DontKnow,No,46.5,52.6,10
S101,Male,Earth,Capricorn,Summer,1,Other,72,75,-3,Labour,No,Average,13,130,No,6.9,5.1,30,Sunday,Yes,75,Yes,None,None,DontKnow,No,51.5,50.4,5
S101,Female,Water,Scorpio,Spring,0,NZ.European,50,50,0,Green,No,BelowAverage,19,100,No,6.9,7,60,Sunday,No,10,Yes,None,None,DontKnow,No,59.5,50.1,7
