Order,Latitude,Longitude,Depth,Felt,Magnitude,RMS,NorMidSth,Month,Day,Hour,Minute
295,-39.2792477,176.4273544,-65,Y,4.707,0.187,North,11,22,10,43
296,-38.15024196,176.1161526,-171,N,4.236,0.162,North,11,24,21,37
297,-36.07989874,178.1751191,-160,N,4.102,0.119,North,11,27,9,32
298,-44.76115082,167.5163491,-9,Y,4.625,0.336,South,11,27,19,57
299,-40.41646099,177.2795601,-33,N,4.023,0.223,North,11,28,0,27
300,-37.93524911,176.2098416,-207,N,4.469,0.164,North,11,28,16,12
301,-38.53241707,176.1409022,-115,N,4.062,0.186,North,11,28,18,42
302,-44.97552046,167.6243461,-97,Y,4.768,0.183,South,11,29,22,50
303,-36.87978243,177.3322803,-101,N,4.954,0.068,North,12,2,6,5
304,-39.22590046,174.7501245,-185,N,4.222,0.26,North,12,4,0,37
305,-37.87120183,176.8953266,-136,N,4.232,0.167,North,12,4,12,38
306,-39.79085765,174.6754286,-114,N,4.168,0.212,North,12,4,14,18
307,-38.4219156,176.0505519,-154,N,4.441,0.211,North,12,5,17,16
308,-38.52824686,176.0016114,-128,N,4.564,0.175,North,12,5,22,35
309,-41.27780163,172.5752242,-212,N,4.542,0.156,Mid,12,6,0,32
310,-38.28974341,176.0077819,-198,N,4.31,0.262,North,12,7,18,5
311,-39.62457804,174.344137,-192,N,4.473,0.246,North,12,11,7,7
312,-36.71103781,177.5929653,-203,N,4.066,0.06,North,12,12,7,7
313,-36.94033818,177.602128,-146,N,4.343,0.125,North,12,12,10,50
314,-39.05732173,177.6112327,-39,Y,4.516,0.146,North,12,12,11,24
315,-38.32842408,176.0932926,-132,N,4.016,0.022,North,12,13,23,4
316,-38.31910386,175.9963017,-173,N,4.241,0.227,North,12,14,1,55
317,-38.13492123,175.6927271,-263,N,4.169,0.183,North,12,15,12,28
318,-36.39620612,177.6885609,-216,N,4.072,0.224,North,12,16,3,13
319,-37.6796456,176.1952521,-278,N,4.021,0.141,North,12,16,14,24
320,-36.84705308,177.9385174,-139,N,4.459,0.186,North,12,17,7,30
321,-39.01476179,177.4781345,-27,N,4.402,0.138,North,12,18,5,34
322,-41.34983416,174.352386,-42,Y,5.082,0.169,North,12,19,5,3
323,-36.09773074,177.3638889,-12,N,4.094,0.507,North,12,20,15,23
324,-41.24421089,172.770797,-133,N,4.596,0.253,North,12,21,20,3
325,-44.50518145,170.9593924,-12,Y,4.202,0.189,Mid,12,22,15,36
326,-38.57224734,175.3593538,-260,N,4.021,0.232,North,12,25,3,36
327,-37.8982384,176.1072705,-191,N,4.258,0.132,North,12,25,6,10
328,-38.38284508,176.1185725,-157,N,4.031,0.211,North,12,26,19,48
329,-38.54457693,175.9047708,-150,N,4.395,0.263,North,12,28,5,25
330,-42.6932589,172.4407418,-8,Y,4.779,0.179,Mid,12,29,1,30
331,-42.67130839,172.4655225,-5,Y,4.449,0.198,Mid,12,29,7,53
332,-41.31304264,172.7982163,-138,N,4.249,0.202,North,12,29,12,10
333,-38.63479768,175.8596003,-147,N,4.293,0.26,North,12,30,7,13
334,-38.24010324,176.2354733,-144,N,4.314,0.16,North,12,31,15,55
